Exchange Date,Close,Net,%Chg,Open,Low,High,log_return
20-Jul-2021,"4,323.0586",+64.5660,+1.5162%,"4,323.0586","4,323.0586","4,323.0586",0.015047913
19-Jul-2021,"4,258.4926",-68.6656,-1.5869%,"4,258.4926","4,258.4926","4,258.4926",-0.015995774
16-Jul-2021,"4,327.1582",-32.8685,-0.7539%,"4,327.1582","4,327.1582","4,327.1582",-0.007567159
15-Jul-2021,"4,360.0267",-14.2699,-0.3262%,"4,360.0267","4,360.0267","4,360.0267",-0.003267549
14-Jul-2021,"4,374.2966",+5.0868,+0.1164%,"4,374.2966","4,374.2966","4,374.2966",0.001163561
13-Jul-2021,"4,369.2098",-15.4159,-0.3516%,"4,369.2098","4,369.2098","4,369.2098",-0.003522094
12-Jul-2021,"4,384.6257",+15.0747,+0.3450%,"4,384.6257","4,384.6257","4,384.6257",0.003444005
09-Jul-2021,"4,369.5510",+48.7334,+1.1279%,"4,369.5510","4,369.5510","4,369.5510",0.011215614
08-Jul-2021,"4,320.8176",-37.3156,-0.8562%,"4,320.8176","4,320.8176","4,320.8176",-0.008599157
07-Jul-2021,"4,358.1332",+14.5901,+0.3359%,"4,358.1332","4,358.1332","4,358.1332",0.003353403
06-Jul-2021,"4,343.5431",-8.7958,-0.2021%,"4,343.5431","4,343.5431","4,343.5431",-0.002022981
02-Jul-2021,"4,352.3389",+32.3988,+0.7500%,"4,352.3389","4,352.3389","4,352.3389",0.007471842
01-Jul-2021,"4,319.9401",+22.4435,+0.5222%,"4,319.9401","4,319.9401","4,319.9401",0.005208869
30-Jun-2021,"4,297.4966",+5.6949,+0.1327%,"4,297.4966","4,297.4966","4,297.4966",0.001326046
29-Jun-2021,"4,291.8017",+1.1939,+0.0278%,"4,291.8017","4,291.8017","4,291.8017",0.00027822
28-Jun-2021,"4,290.6078",+9.9054,+0.2314%,"4,290.6078","4,290.6078","4,290.6078",0.002311293
25-Jun-2021,"4,280.7024",+14.2166,+0.3332%,"4,280.7024","4,280.7024","4,280.7024",0.003326618
24-Jun-2021,"4,266.4858",+24.6498,+0.5811%,"4,266.4858","4,266.4858","4,266.4858",0.005794296
23-Jun-2021,"4,241.8360",-4.5990,-0.1083%,"4,241.8360","4,241.8360","4,241.8360",-0.001083613
22-Jun-2021,"4,246.4350",+21.6472,+0.5124%,"4,246.4350","4,246.4350","4,246.4350",0.005110773
21-Jun-2021,"4,224.7878",+58.3346,+1.4001%,"4,224.7878","4,224.7878","4,224.7878",0.013903912
18-Jun-2021,"4,166.4532",-55.4051,-1.3123%,"4,166.4532","4,166.4532","4,166.4532",-0.013210264
17-Jun-2021,"4,221.8583",-1.8459,-0.0437%,"4,221.8583","4,221.8583","4,221.8583",-0.000437129
